id,normalized_name,category_code,founded_at,country_code
c:10399,sailpoint technologies,enterprise,2005-12-01,USA
c:104,steorn,web,2000-01-01,IRL
c:10400,meisterlabs,web,2007-02-05,DEU
c:104004,shirish productions,software,2010-04-01,IND
c:104010,aps security,security,1999-01-01,USA
c:104013,winestyr,web,2010-11-16,USA
c:104015,silverstreet,mobile,1999-01-01,NLD
c:104016,sms marketing,software,2011-05-01,USA
c:10402,moozey,mobile,2008-04-01,DEU
c:104045,businesshut,consulting,2006-01-01,USA
c:104048,weekenture,ecommerce,2011-09-01,USA
c:104057,expert medical navigation,medical,2009-11-01,USA
c:104059,vanilya club,web,2011-04-05,TUR
c:104068,socure,security,2012-09-01,USA
c:10407,linkua,games_video,2007-02-07,ESP
c:104071,everyspot,other,2010-03-01,USA
c:10408,mexuar communications,software,2005-04-01,GBR
c:10409,2pad,games_video,2006-09-01,ISR
c:104090,castthat,public_relations,2009-01-01,CAN
c:104093,bitcasa,enterprise,2011-01-01,USA
c:1041,recipematcher,web,2007-10-01,USA
c:10410,oh studio media solutions,consulting,2007-07-09,ARG
c:104103,divas diamond,ecommerce,2011-05-30,TUR
c:104119,better voicemail,mobile,2011-07-01,USA
c:10412,carribean international trading,public_relations,2001-12-29,USA
c:104138,bubblelife media,advertising,2008-01-15,USA
c:104140,zuppler,ecommerce,2008-11-15,USA
c:104141,imagined apps,games_video,2010-09-09,USA
c:104148,itverse,software,2005-07-01,USA
c:104151,dianomi,advertising,2003-01-01,GBR
c:10416,neoris,consulting,2000-01-01,USA
c:104164,rhino house,games_video,2002-07-31,USA
c:104166,digmydata,ecommerce,2009-01-01,USA
c:10417,emerginvest,web,2007-01-01,USA
c:104175,qsoft vietnam,software,2005-09-01,VNM
c:104193,solutionary,security,2000-01-01,USA
c:104196,ascension orthopedics,biotech,1996-01-01,USA
c:1042,whiskey media,web,2007-10-01,USA
c:104220,eyeonjewels,ecommerce,2007-02-17,USA
c:104224,balluun,ecommerce,2009-08-14,USA
c:10424,fitnesskeeper,health,2008-01-01,USA
c:10425,brainyatom,ecommerce,2008-01-01,USA
c:10426,wonsys,consulting,2006-07-26,ITA
c:104268,toyopa group,mobile,2011-06-24,USA
c:10427,rentbureau,web,2006-05-15,USA
c:10428,ipo,web,2007-05-30,POL
c:104280,onlygowns,enterprise,2004-08-08,USA
c:1043,voodoovox,mobile,2002-01-01,USA
c:10430,campaignercrm,software,2004-01-01,USA
c:104303,twenty5media,other,2009-03-10,GBR
c:104306,triggero,enterprise,2010-03-01,IND
c:104321,clickn kids,education,2003-05-23,USA
c:104335,cinergy,games_video,1999-03-22,CHE
c:10434,tpad,public_relations,2006-01-06,GBR
c:104347,addynamics,advertising,2010-07-01,NLD
c:10436,cignis,enterprise,2007-06-01,NOR
c:104363,maxroy,advertising,2008-10-15,POL
c:10437,propertyshark,ecommerce,2003-01-01,USA
c:104377,tremor video,advertising,2005-01-01,USA
c:10439,jorbb,web,2008-09-01,SGP
c:104391,maginio,software,2011-08-06,ARG
c:104393,stickyadstv,advertising,2009-12-01,FRA
c:104399,buero fuer neues denken,public_relations,2011-03-01,DEU
c:104408,lineguru,games_video,2011-08-21,USA
c:104410,ribosom,ecommerce,2009-12-01,HRV
c:104412,mingjian,web,2010-03-15,CHN
c:104413,ii4b,finance,2011-08-08,POL
c:104436,2en,cleantech,2001-01-01,GRC
c:10444,hexacorp,software,2001-08-14,USA
c:104446,decision cloud,software,2011-01-01,GBR
c:104450,shareagift,ecommerce,2010-10-01,GBR
c:104452,taprush,mobile,2011-01-01,USA
c:104460,nextgig systems,network_hosting,2009-01-01,USA
c:104467,lessonpix,web,2011-04-01,USA
c:10447,fizmo,software,2007-01-01,USA
c:104481,iyiyes,search,2011-07-20,BEN
c:104484,lirmi,education,2012-04-13,CHL
c:104492,amocrm,software,2004-01-01,USA
c:104505,hollre,web,2010-10-04,USA
c:104517,dolcera,consulting,2004-04-01,USA
c:10452,image space media,advertising,2008-01-01,USA
c:10453,bankrate,web,1993-01-01,USA
c:104538,moviecom tv,games_video,2007-01-01,GBR
c:10454,searchrev,advertising,2002-01-01,USA
c:104543,orama,other,2011-07-29,BRA
c:104547,alexander interactive ai,ecommerce,2002-01-01,USA
c:104549,highgroove,software,2006-01-01,USA
c:10455,akqa,advertising,1995-01-01,USA
c:104563,universal group social media,consulting,2011-07-01,NZL
c:104568,tapnscrap,mobile,2010-02-12,USA
c:10458,softonic,web,1997-07-01,ESP
c:1046,alluc,games_video,2009-06-12,DEU
c:10460,rowdii,search,2007-08-01,AUS
c:104618,millionaire network,advertising,2010-04-06,USA
c:104619,targetrx,\N,1999-01-01,USA
c:104624,jivity merchandising pvt,other,2010-01-01,IND
c:104628,simplelife in,ecommerce,2011-05-13,IND
c:10463,the megaphone company,software,2002-05-01,USA
c:104634,adroitlogic,software,2010-01-01,SGP
c:104636,kwestr,web,2010-09-01,CHN
c:104638,36 kr,public_relations,2010-11-01,CHN
c:104650,super jay,games_video,2011-08-01,CHN
c:10467,pogostick,software,2007-01-01,USA
c:1047,condodomain,web,2005-10-01,USA
c:10471,medeview,biotech,1999-01-01,USA
c:104711,blendr,mobile,2011-09-01,USA
c:104739,crushblvd,social,2011-01-01,USA
c:10475,abbott labs,biotech,1991-01-01,USA
c:104751,clary business machines,advertising,2007-06-25,USA
c:104753,gis to,web,2010-01-01,USA
c:104756,wmc global,mobile,2006-11-01,USA
c:104757,naxxoo,advertising,2007-01-01,USA
c:10477,north sky,web,1994-01-01,USA
c:10478,adaptive technologies ati,other,2000-10-01,USA
c:104785,tomo clases,education,2011-01-01,CHL
c:104789,freann financial services limited,other,2008-09-09,GHA
c:10480,big stage,web,2008-06-01,USA
c:10481,clicky web analytics,advertising,2006-11-29,USA
c:104815,m files,software,2001-01-01,USA
c:104818,shifthound,software,2008-01-01,USA
c:104828,arxspan,software,2009-01-01,USA
c:10483,stationery style,other,2006-01-01,USA
c:104837,emerge studio,software,2010-04-01,ZAF
c:104844,indike,search,2011-07-07,BRA
c:104853,green brick apps,enterprise,2011-02-04,CHL
c:10486,intraware,software,1996-01-01,USA
c:104861,brightblue,software,2000-01-01,GBR
c:104873,arl mobile,mobile,2011-06-01,GBR
c:10488,milobox,advertising,2007-06-06,USA
c:104881,linoma software,software,1994-01-01,USA
c:104886,flytailit,web,2011-01-01,USA
c:104890,t3 advisors,consulting,2001-08-01,USA
c:1049,confabb,web,2006-06-01,USA
c:104908,punchh,mobile,2010-01-01,USA
c:10491,rentaskilldirect,network_hosting,2008-05-15,ZAF
c:10493,mirial,software,1999-07-01,ITA
c:10494,builders copilot,advertising,2003-02-02,USA
c:104942,boxlight media,web,2007-02-01,GBR
c:104953,global virtual support,other,2009-01-01,AUS
c:10496,adprecision,advertising,2006-01-01,GBR
c:104971,enertrac,manufacturing,2006-01-01,USA
c:104980,ocision,web,2010-03-17,MYS
c:104981,nerd attack,mobile,2010-10-01,MYS
c:104983,milk a deal,web,2011-01-01,MYS
c:104984,long tail,mobile,2006-01-01,MYS
c:104992,accelerated ventures,consulting,2004-03-01,CAN
c:105,surphace,web,2005-06-01,USA
c:10500,parentree,web,2008-04-01,IND
c:105002,eventfinda,software,2005-07-01,NZL
c:105003,kalmest,web,2011-01-01,USA
c:105004,isuggest,mobile,2008-11-01,USA
c:105005,rundown,web,2011-01-01,USA
c:105007,utopic,web,2011-02-01,EST
c:105008,base79,advertising,2007-06-28,GBR
c:105050,ampersand commerce,ecommerce,2008-01-01,GBR
c:105059,crystal ball,mobile,2005-01-01,GBR
c:105066,outsmart norge,other,2005-01-01,NOR
c:10507,realestate,other,2003-01-01,USA
c:105075,accunostics,medical,2008-01-01,GBR
c:105077,all about jazz,games_video,1995-08-15,USA
c:10508,dooit,software,2008-08-05,ITA
c:1051,rayv,games_video,2005-01-01,USA
c:10510,davai design,web,2003-01-01,CAN
c:10511,billdesk,web,2000-01-01,IND
c:10512,mimosa systems,software,2003-08-29,USA
c:105120,eastbay,ecommerce,1980-01-01,USA
c:105130,peribanu,ecommerce,2011-05-01,ISR
c:105131,davis investigations,security,1989-11-01,USA
c:105132,betterstudy,education,2013-06-25,CHE
c:105139,overit,advertising,1993-01-01,USA
c:10514,ebandlive,games_video,2007-12-29,USA
c:105159,talk2rep,public_relations,2001-08-28,USA
c:105161,goanywhere mft,software,2002-01-01,USA
c:105168,collective bias,social,2009-05-11,USA
c:105174,pingup,web,2010-05-01,USA
c:10519,divvy systems,web,2007-04-02,USA
c:105192,franchisehelp,web,2010-01-01,USA
c:105194,hostpress me,network_hosting,2011-09-01,BRA
c:105196,flowfinity wireless,software,2000-01-01,CAN
c:105201,qondoc,software,1999-01-01,SWE
c:105202,phastcloud,public_relations,2011-08-02,USA
c:105203,webdevstudios,consulting,2001-01-01,USA
c:105205,adzspark,advertising,2011-08-01,USA
c:10521,motorator,ecommerce,2007-01-01,USA
c:105217,billfish software,enterprise,2007-10-15,USA
c:105218,tidalwave interactive,enterprise,2007-10-15,USA
c:105231,ac lion,other,1996-01-05,USA
c:105243,orderbolt,software,2011-07-31,USA
c:105248,pinchit,ecommerce,2010-06-30,USA
c:10525,routeyou,search,2005-01-01,BEL
c:10526,anagran,network_hosting,2004-01-01,USA
