,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
4527,c:21164,seed,150000,0,0,0,0,0,0,0,0,0,1,0
13281,c:58550,seed,750000,0,0,0,0,0,0,0,0,0,1,0
13329,c:66038,seed,250000,0,0,0,0,0,0,0,0,0,1,0
4458,c:20543,seed,500000,0,0,0,0,0,0,0,0,0,1,0
13330,c:66044,seed,50000,0,0,0,0,0,0,0,0,0,1,0
19408,c:69890,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
13398,c:55059,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,0
28276,c:163268,seed,121780,2,0,0,0,0,0,0,0,0,1,0
13397,c:66669,seed,25000,0,0,0,0,0,0,0,0,0,1,0
4382,c:20177,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
13385,c:66621,seed,200000,0,0,0,0,0,0,0,0,0,1,0
28250,c:1587,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4404,c:20262,seed,200000,0,0,0,0,0,0,0,0,0,1,0
4406,c:20263,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
4536,c:5567,angel,1100000,0,0,1,0,0,0,0,0,0,0,0
4412,c:20320,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
4416,c:20363,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
13366,c:66438,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
13363,c:66433,seed,30000,1,0,0,0,0,0,0,0,0,1,0
19397,c:163032,a,3746400,2,1,0,0,0,0,0,0,0,0,0
13358,c:66385,seed,2000000,0,0,0,0,0,0,0,0,0,1,0
4429,c:73761,a,5500000,2,1,0,0,0,0,0,0,0,0,0
19406,c:163085,angel,500000,0,0,1,0,0,0,0,0,0,0,0
4451,c:11685,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
13375,c:66538,angel,250000,0,0,1,0,0,0,0,0,0,0,0
3488,c:15073,seed,500000,1,0,0,0,0,0,0,0,0,1,0
13275,c:65697,seed,50000,0,0,0,0,0,0,0,0,0,1,0
19443,c:163426,angel,500000,1,0,1,0,0,0,0,0,0,0,0
13178,c:64922,seed,3000,0,0,0,0,0,0,0,0,0,1,0
4683,c:11700,b,8000000,1,0,0,1,0,0,0,0,0,0,0
4695,c:22205,seed,5001,0,0,0,0,0,0,0,0,0,1,0
4702,c:22269,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
27940,c:257228,seed,600000,1,0,0,0,0,0,0,0,0,1,0
27939,c:259725,angel,400000,0,0,1,0,0,0,0,0,0,0,0
27937,c:257103,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4720,c:14683,seed,200000,2,0,0,0,0,0,0,0,0,1,0
19549,c:164371,seed,9791,1,0,0,0,0,0,0,0,0,1,0
13140,c:64483,a,2200000,4,1,0,0,0,0,0,0,0,0,0
4728,c:22425,angel,235800,0,0,1,0,0,0,0,0,0,0,0
13133,c:64467,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4745,c:22653,seed,15000,1,0,0,0,0,0,0,0,0,1,0
19577,c:164603,seed,469008,0,0,0,0,0,0,0,0,0,1,0
13105,c:64163,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
19590,c:159870,seed,50000,2,0,0,0,0,0,0,0,0,1,0
27890,c:108052,angel,25000,1,0,1,0,0,0,0,0,0,0,0
4671,c:22047,seed,10000,0,0,0,0,0,0,0,0,0,1,0
19515,c:71289,seed,200000,1,0,0,0,0,0,0,0,0,1,0
13190,c:65086,seed,144060,1,0,0,0,0,0,0,0,0,1,0
19507,c:164088,seed,3000000,1,0,0,0,0,0,0,0,0,1,0
28091,c:260962,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
19450,c:163463,seed,100000,3,0,0,0,0,0,0,0,0,1,0
13263,c:65661,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
28081,c:260863,seed,20000,0,0,0,0,0,0,0,0,0,1,0
13254,c:65595,c,3900000,0,0,0,0,1,0,0,0,0,0,0
13251,c:65580,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4581,c:21470,seed,100000,0,0,0,0,0,0,0,0,0,1,0
13238,c:65534,seed,250000,0,0,0,0,0,0,0,0,0,1,0
