acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:19308,c:857,117500000,0,0,0,0,0,0,1,0,1,0,[6196.]
c:1878,c:1877,10000000,0,0,0,0,0,0,1,1,0,0,[6209.]
c:39361,c:37235,12000000,0,0,0,0,0,0,1,1,0,0,[6215.]
c:350,c:5638,300000000,0,0,0,0,0,0,1,1,0,0,[6236.]
c:246335,c:257963,12900,0,0,0,0,0,0,1,1,0,0,[6247.]
c:246335,c:257667,22879,0,0,0,0,0,0,1,0,1,0,[6253.]
c:246335,c:257666,23987,0,0,0,0,0,0,1,0,1,0,[6285.]
c:26940,c:26939,18000000,0,0,0,0,0,0,1,1,0,0,[6315.]
c:29,c:22212,30000000,0,0,0,0,0,0,1,0,0,0,[6329.]
c:246335,c:257668,34567,0,0,0,0,0,0,1,0,1,0,[6346.]
c:1360,c:145111,180000000,0,0,0,0,0,0,1,0,0,0,[6362.]
c:26477,c:44165,170000000,0,0,0,0,0,0,1,0,1,0,[6367.]
c:18871,c:767,120000000,0,0,0,0,0,0,1,0,1,0,[6374.]
c:19665,c:26756,14700000,0,0,0,0,0,0,1,0,0,0,[6388.]
c:10453,c:51020,205000000,0,0,0,0,0,0,1,0,0,0,[6394.]
c:10453,c:22505,145000000,0,0,0,0,0,0,1,0,0,0,[6394.]
c:8608,c:8609,80000000,0,0,0,0,0,0,1,1,0,0,[6408.]
c:27810,c:2902,56500000,0,0,0,0,0,0,1,0,0,0,[6408.]
c:29580,c:9036,9500000,0,0,0,0,0,0,1,0,1,0,[6413.]
c:38689,c:1365,500000000,0,0,0,0,0,0,1,0,1,0,[6414.]
c:14008,c:5103,310000000,0,0,0,0,0,0,1,0,1,0,[6422.]
c:40670,c:179262,8000000,0,0,0,0,0,0,1,0,1,0,[6453.]
c:12712,c:74363,180000000,0,0,0,0,0,0,1,0,0,0,[6464.]
c:29411,c:29412,16220000,0,0,0,0,0,0,1,0,0,0,[6488.]
c:31710,c:140160,164000000,0,0,0,0,0,0,1,0,1,0,[6508.]
c:16077,c:10253,145000000,0,0,0,0,0,0,1,0,0,0,[6512.]
c:29,c:37881,270000000,0,0,0,0,0,0,1,0,0,0,[6513.]
c:14904,c:84,119000000,0,0,0,0,0,0,1,1,0,0,[6513.]
c:18871,c:78466,23000000,0,0,0,0,0,0,1,0,0,0,[6519.]
c:42816,c:52406,150000000,0,0,0,0,0,0,1,0,0,0,[6527.]
c:32373,c:40210,29000000,0,0,0,0,0,0,1,0,0,0,[6529.]
c:37662,c:37663,92500000,0,0,0,0,0,0,1,1,0,0,[6557.]
c:10475,c:30967,215000000,0,0,0,0,0,0,1,0,0,1,[6560.]
c:13450,c:38638,505000000,0,0,0,0,0,0,1,1,0,0,[6566.]
c:5473,c:32,102000000,0,0,0,0,0,0,1,0,1,0,[6573.]
c:39064,c:39065,27000000,0,0,0,0,0,0,1,0,1,0,[6574.]
c:39190,c:39191,15000000,0,0,0,0,0,0,1,1,0,0,[6579.]
c:27154,c:27153,23200000,0,0,0,0,0,0,1,0,0,0,[6604.]
c:26270,c:26269,7500000,0,0,0,0,0,0,1,1,0,0,[6608.]
c:2584,c:5936,155000000,0,0,0,0,0,0,1,0,0,0,[6619.]
c:317,c:12052,775000000,0,0,0,0,0,0,1,1,0,0,[6652.]
c:177838,c:16393,1000000000,0,0,0,0,0,0,1,1,0,0,[6665.]
c:246335,c:257665,19600,0,0,0,0,0,0,1,0,1,0,[6669.]
c:246335,c:258013,12000,0,0,0,0,0,0,1,1,0,0,[6683.]
c:4687,c:51265,10800000,0,0,0,0,0,0,1,0,0,0,[6684.]
c:5208,c:24295,367000000,0,0,0,0,0,0,1,1,0,0,[6702.]
c:33463,c:33460,47350000,0,0,0,0,0,0,1,0,0,0,[6707.]
c:2782,c:8856,20000000,0,0,0,0,0,0,1,0,0,0,[6714.]
c:14008,c:15436,34000000,0,0,0,0,0,0,1,0,0,0,[6714.]
c:317,c:4460,2500000,0,0,0,0,0,0,1,0,1,0,[6740.]
c:19665,c:51893,42500000,0,0,0,0,0,0,1,1,0,0,[6770.]
c:16591,c:75696,225000000,0,0,0,0,0,0,1,0,0,0,[6771.]
c:14008,c:51260,11000000,0,1,0,0,0,0,0,0,0,0,[6777.]
c:31060,c:31059,564960000,0,0,0,0,0,0,1,0,0,0,[6780.]
c:845,c:243642,15600000,0,0,0,0,0,0,1,0,0,0,[6786.]
c:26339,c:84187,2500000,0,0,0,0,0,0,1,0,0,0,[6787.]
c:4209,c:169898,6300000,0,0,0,0,0,0,1,0,0,0,[6788.]
c:28672,c:28671,11310000,0,0,0,0,0,0,1,0,0,0,[6814.]
c:10475,c:25525,400000000,0,0,0,0,0,0,1,0,0,0,[6820.]
c:40670,c:40643,43000000,0,0,0,0,0,0,1,0,0,0,[6820.]
c:29411,c:32633,43000000,0,0,0,0,0,0,1,0,0,0,[6825.]
c:10475,c:31964,410000000,0,0,0,0,0,0,1,0,0,0,[6828.]
c:32494,c:32492,130000000,0,0,0,0,0,0,1,0,0,0,[6839.]
c:10475,c:31960,6600000000,0,0,0,0,0,0,1,0,0,0,[6845.]
c:38729,c:17567,2500000,0,0,0,0,0,0,1,1,0,0,[6847.]
c:59155,c:173167,468400000,0,0,0,0,0,0,1,1,0,0,[6848.]
c:5891,c:199260,546000000,0,0,0,0,0,0,1,0,0,0,[6888.]
c:17124,c:17431,178000000,0,0,0,0,0,0,1,1,0,0,[6908.]
c:16591,c:209849,1100000000,0,0,0,0,0,0,1,0,0,0,[6918.]
c:13107,c:38468,18000000,0,0,0,0,0,0,1,0,1,0,[6930.]
